company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
alfresa holdings,Asia,Health care and pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba group holding,Asia,Technology,,,,,,Asia,Retail,,,1.0,,1.0,Asia,Retail,,,1.0,,1.0,Asia,Retail,,,1.0,,1.0,Asia,Retail,,,1.0,,
alimentation couche-tard,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,1.0,,1.0,North America,Retail,,,1.0,,
allianz,Europe,Financial services,1.0,,1.0,1.0,,Europe,Financial services,1.0,,1.0,1.0,,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0
allstate,North America,Financial services,,,,,,North America,Financial services,,,,,1.0,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,
alphabet,North America,Technology,1.0,,1.0,,,North America,Technology,1.0,,1.0,1.0,1.0,North America,Technology,,,,1.0,1.0,North America,Technology,,,,1.0,1.0,North America,Retail,,1.0,,1.0,-1.0
aluminum corp. of china,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
amazon,North America,Retail,,,,1.0,,North America,Retail,,,,1.0,,North America,Retail,,,,1.0,,North America,Retail,,,,1.0,1.0,North America,Retail,,,,1.0,1.0
amer international group,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,,,,,,,,,,,,,,
américa móvil,North America,Retail,,1.0,1.0,,,North America,Telecommunications and media,,1.0,,1.0,,North America,Telecommunications and media,,1.0,,1.0,,,,,,,,,,,,,,,
american express,North America,Financial services,1.0,,1.0,,,North America,Financial services,1.0,,1.0,1.0,,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,1.0,1.0,,1.0,1.0
amerisourcebergen,North America,Health care and pharmaceuticals,,,,,,North America,Retail,,,,,,North America,Health care and pharmaceuticals,,1.0,,,,,,,,,,,,,,,,,
amgen,North America,Health care and pharmaceuticals,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,North America,Health care and pharmaceuticals,,1.0,1.0,,
anglo american,Other,Industrial goods,,,1.0,,,Other,Metals and mining,,,1.0,,,Other,Energy and utilities,,,1.0,,,,,,,,,,,,,,,,
anheuser-busch inbev,Other,"Food, beverages and agriculture",1.0,1.0,,,,Other,"Food, beverages and agriculture",1.0,1.0,,1.0,,Other,"Food, beverages and agriculture",1.0,1.0,,1.0,,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,1.0,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,
anhui conch group,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,-1.0,Asia,Industrial goods,,,,,,,,,,,,,,,,,,,
ansteel group,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,1.0,,
