company,re100,sbti,cn,nz,cc
china pacific insurance (group),00000,00000,00001,00000,-----
china post group,00000,00000,01000,00000,-----
china railway construction,00000,00000,00000,00001,-----
china reinsurance (group),0----,0----,0----,0----,-----
china resources,00000,00000,00000,00000,-----
china southern power grid,00000,00000,00001,00000,-----
china state construction engineering,00000,00000,00010,00001,-----
china state shipbuilding,0000-,0000-,0000-,0000-,-----
china taiping insurance group,000--,000--,000--,001--,-----
china united network communications,00000,00000,00001,00000,-----
china vanke,00000,00000,00001,00000,--1--
christian dior,00000,00001,00000,00000,-----
chs,00000,00000,00000,00000,-----
chubb,00000,00000,01100,00000,-11-1
chubu electric power,0----,0----,0----,1----,-----
cigna,01111,00000,11110,00001,---1-
cisco systems,00011,11111,00000,01110,-----
citigroup,00100,00000,10000,00100,----1
cj corp.,000--,000--,011--,000--,-1---
ck hutchison holdings,00000,00110,00000,10110,---1-
cma cgm,00---,00---,10---,01---,-----
coca-cola,00100,11111,00000,11110,---1-
cofco,00000,00011,00000,00000,-----
coles group,00---,00---,00---,11---,-----
comcast,00000,00001,11110,00001,--1-1
commonwealth bank of australia,1--01,0--00,0--00,0--10,---11
compal electronics,000--,000--,000--,011--,-----
compass group,0-000,0-111,0-000,0-110,---11
continental,11111,11111,11110,00001,-111-
coop group,00000,00100,11000,01110,-1---
costco wholesale,00000,00000,00000,00000,-----
country garden holdings,000-0,000-0,100-1,000-0,--1---
credit agricole,11111,00000,00110,10000,--111
credit suisse group,11---,00---,11---,11---,-----
crh,00000,01111,11000,00110,-----
crrc group,00000,00000,00110,00001,-----
cvs health,00000,11111,01000,01110,----1
dai-ichi life holdings,00000,00000,00000,11110,-----
daimler,0----,0----,1----,0----,-----
daiwa house industry,11110,11111,01000,10110,----1
danone,11---,11---,11---,00---,-1---
deere,00000,00111,00000,00000,-----
dell technologies,11111,11111,00000,11110,---1-
denso,00000,00011,11110,00001,--111
deutsche bank,00001,11110,11110,00000,--1-1
deutsche post dhl group,000--,001--,000--,111--,-1---
deutsche telekom,11111,11111,11000,11110,--111
dollar general,00000,00000,00000,00000,----1
dollar tree,0----,0----,0----,0----,-----
dongfeng motor,00000,00000,00000,00001,--1--
dow,00000,00000,11110,00001,-1-1-
dz bank,00-00,00-00,00-10,00-00,---11
e.on,00000,01111,11110,00001,--111-
edeka zentrale,00000,00001,00000,00010,--1---
electricite de france,00000,11111,11000,00110,-1---1
eli lilly,0--00,0--00,1--10,0--01,---11
elo group,00000,00100,01000,00000,-----
enbridge,00000,00000,00000,11110,-1-11
enel,00000,11111,00000,11110,--1-1-1
eneos holdings,00000,00000,11110,00001,---11
