2024,,,,2025,,,
Company name,Sector (final classification),Region,NZ,Company name,Sector (final classification),Region,NZ
Gazprom,Oil and gas,Asia,,Lockheed Martin,Aerospace and defense,North America,0
General Dynamics,Aerospace and defense,North America,,MetLife,Financial services,North America,1
General Electric,Industrial goods,North America,1,Roche Group,Health care and pharmaceuticals,Europe,1
General Motors,Automotive,North America,,HCA Healthcare,Health care and pharmaceuticals,North America,1
George Weston,Retail,North America,1,BASF,Chemicals,Europe,1
Glencore,Metals and mining,Europe,1,Koc Holding,Energy and utilities,Europe,0
Goldman Sachs Group,Financial services,North America,1,Prudential Financial,Financial services,North America,1
Greenland Holding Group,Real estate,Asia,,China Merchants Bank,Financial services,Asia,0
Groupe BPCE,Financial services,Europe,,Petronas,Energy and utilities,Asia,1
GS Caltex,Oil and gas,Asia,,Alimentation Couche-Tard,Retail,North America,0
GSK,Health care and pharmaceuticals,Europe,1,Lenovo Group,Technology,Asia,1
Guangdong Guangxin Holdings,Financial services,Asia,,Korea Electric Power,Energy and utilities,Asia,0
Guangxi Investment Group,Financial services,Asia,,Toyota Tsusho,Financial services,Asia,1
Guangzhou Automobile Industry Group,Automotive,Asia,,China Poly Group,Real estate,Asia,0
Guangzhou Industrial Investment Holdings,Industrial goods,Asia,,Wilmar International,"Food, beverages and agriculture",Asia,1
Guangzhou Municipal Construction Group,Engineering and construction,Asia,,Beijing Automotive Group,Automotive,Asia,0
Guangzhou Pharmaceutical Holdings,Health care and pharmaceuticals,Asia,,Munich Re Group,Financial services,Europe,1
Haier Smart Home,Industrial goods,Asia,,Aluminum Corp. of China,Metals and mining,Asia,0
Hailiang Group,Financial services,Asia,,Sumitomo Mitsui Financial Group,Financial services,Asia,1
Hangzhou Industrial Investment Group,Financial services,Asia,,Itau Unibanco Holding,Financial services,Other,1
Hangzhou Iron and Steel Group,Metals and mining,Asia,,Boeing,Aerospace and defense,North America,0
Hanwha,Financial services,Asia,1,AEON,Retail,Asia,1
HBIS Group,Metals and mining,Asia,,Xiamen ITG Holding Group,Financial services,Asia,0
HCA Healthcare,Health care and pharmaceuticals,North America,1,Zurich Insurance Group,Financial services,Europe,1
HD Hyundai,Oil and gas,Asia,,Unilever,Household and personal products,Europe,1
HDFC Bank,Financial services,Asia,,Accenture,Technology,Europe,1
Heineken,"Food, beverages and agriculture",Europe,1,COSCO Shipping,Transportation and logistics,Asia,1
Hengli Group,Household and personal products,Asia,,Caterpillar,Engineering and construction,North America,0
Hitachi,Industrial goods,Asia,,Dai-ichi Life Holdings,Financial services,Asia,1
Home Depot,Retail,North America,,LG Electronics,Technology,Asia,0
Hon Hai Precision Industry,Industrial goods,Asia,1,Hitachi,Technology,Asia,1
Honda Motor,Automotive,Asia,,Merck,Health care and pharmaceuticals,North America,1
Honeywell International,Industrial goods,North America,,Allstate,Financial services,North America,1
HP,Technology,North America,1,Pfizer,Health care and pharmaceuticals,North America,1
HSBC Holdings,Financial services,Europe,1,Zhejiang Hengyi Group,Chemicals,Asia,0
Huawei Investment & Holding,Telecommunications and media,Asia,,IBM,Technology,North America,1
Humana,Health care and pharmaceuticals,North America,,New York Life Insurance,Financial services,North America,0
Hunan Iron & Steel Group,Metals and mining,Asia,,ArcelorMittal,Metals and mining,Europe,1
Hyundai Mobis,Automotive,Asia,1,Assicurazioni Generali,Financial services,Europe,1
Hyundai Motor,Automotive,Asia,,Delta Air Lines,Transportation and logistics,North America,1
Iberdrola,Energy and utilities,Europe,1,China North Industries Group,Aerospace and defense,Asia,0
IBM,Technology,North America,1,Bouygues,Engineering and construction,Europe,1
Idemitsu Kosan,Oil and gas,Asia,,China Energy Engineering Group,Engineering and construction,Asia,0
Indian Oil,Oil and gas,Asia,1,Renault,Automotive,Europe,0
Inditex,Retail,Europe,1,Banco do Brasil,Financial services,Other,0
Industrial & Commercial Bank of China,Financial services,Asia,,Publix Super Markets,Retail,North America,0
Industrial Bank,Financial services,Asia,,Anheuser-Busch InBev,"Food, beverages and agriculture",Europe,1
ING Group,Financial services,Europe,1,Chery Holding Group,Automotive,Asia,0
Ingka Group,Retail,Europe,1,Mizuho Financial Group,Financial services,Asia,1
Intel,Industrial goods,North America,1,Jinchuan Group,Metals and mining,Asia,0
Intesa Sanpaolo,Financial services,Europe,1,Nationwide,Financial services,North America,1
Itau Unibanco Holding,Financial services,Other,1,Edeka Zentrale,"Food, beverages and agriculture",Europe,1
Itochu,Financial services,Asia,1,Daimler Truck Holding,Automotive,Europe,0
J. Sainsbury,Retail,Europe,1,TD Synnex,Industrial goods,North America,1
Jabil,Industrial goods,North America,,Bank of Montreal,Financial services,North America,1
Japan Post Holdings,Financial services,Asia,,XMXYG,Financial services,Asia,0
Jardine Matheson,Automotive,Other,1,Industrial Bank,Financial services,Asia,0
JBS,"Food, beverages and agriculture",Other,1,United Airlines Holdings,Transportation and logistics,North America,1
JD.com,Retail,Asia,,Nippon Steel,Metals and mining,Asia,0
Jeronimo Martins,"Food, beverages and agriculture",Europe,1,ConocoPhillips,Metals and mining,North America,1
JFE Holdings,Metals and mining,Asia,,Midea Group,Technology,Asia,0
Jiangsu Shagang Group,Metals and mining,Asia,,Tsingshan Holding Group,Metals and mining,Asia,0
Jiangxi Copper,Metals and mining,Asia,,TJX,Retail,North America,1
Jinchuan Group,Metals and mining,Asia,,AbbVie,Health care and pharmaceuticals,North America,0
Jingye Group,Metals and mining,Asia,,Enterprise Products Partners,Energy and utilities,North America,0
Jinneng Holding Group,Metals and mining,Asia,,China Pacific Insurance (Group),Financial services,Asia,0
Johnson & Johnson,Health care and pharmaceuticals,North America,1,Guangzhou Automobile Industry Group,Automotive,Asia,0
JPMorgan Chase,Financial services,North America,1,Bank of Nova Scotia,Financial services,North America,1
KB Financial Group,Financial services,Asia,1,HBIS Group,Metals and mining,Asia,0
KDDI,Telecommunications and media,Asia,,Intesa Sanpaolo,Financial services,Europe,1
Kia,Automotive,Asia,1,China Huaneng Group,Energy and utilities,Asia,0
Koc Holding,Energy and utilities,Asia,,Chubb,Financial services,Europe,0
Korea Electric Power,Energy and utilities,Asia,,HDFC Bank,Financial services,Asia,0
Korea Gas,Oil and gas,Asia,,BHP Group,Metals and mining,Other,1
Kroger,Retail,North America,,Repsol,Oil and gas,Europe,1
La Poste,Transportation and logistics,Europe,1,Panasonic Holdings,Technology,Asia,1
Landesbank Baden-Wurttemberg,Financial services,Europe,1,Maersk Group,Transportation and logistics,Europe,1
Lennar,Engineering and Construction,North America,,Tokio Marine Holdings,Financial services,Asia,1
Lenovo Group,Technology,Asia,1,Charter Communications,Telecommunications and media,North America,0
LG Chem,Chemicals,Asia,1,State Power Investment,Energy and utilities,Asia,0
LG Electronics,Industrial goods,Asia,,PDD Holdings,Retail,Asia,0
Liberty Mutual Insurance Group,Financial services,North America,,Performance Food Group,"Food, beverages and agriculture",North America,0
Life Insurance Corp. of India,Financial services,Asia,,American Airlines Group,Transportation and logistics,North America,1
Linde,Chemicals,Europe,,China United Network Communications,Telecommunications and media,Asia,0
Lloyds Banking Group,Financial services,Europe,1,AstraZeneca,Health care and pharmaceuticals,Europe,1
Lockheed Martin,Aerospace and defense,North America,,Capital One Financial,Financial services,North America,1
L'Oreal,Household and personal products,Europe,1,POSCO Holdings,Metals and mining,Asia,1
Louis Dreyfus,"Food, beverages and agriculture",Europe,,Cisco Systems,Technology,North America,1
Lowe's,Retail,North America,1,Rio Tinto Group,Metals and mining,Europe,1
Lufthansa Group,Transportation and logistics,Europe,,HP,Technology,North America,1
Lukoil,Oil and gas,Asia,1,Phoenix Pharma,Health care and pharmaceuticals,Europe,0
Luxshare Precision Industry,Technology,Asia,,Sanofi,Health care and pharmaceuticals,Europe,1
LyondellBasell Industries,Chemicals,Europe,1,Tyson Foods,"Food, beverages and agriculture",North America,1
Maersk Group,Transportation and logistics,Europe,1,Bunge Global,"Food, beverages and agriculture",Europe,0
Magna International,Automotive,North America,1,Intel,Technology,North America,1
Mapfre Group,Financial services,Europe,,Idemitsu Kosan,Oil and gas,Asia,0
Marathon Petroleum,Oil and gas,North America,,Oracle,Technology,North America,1
Marubeni,Financial services,Asia,1,Tata Motors,Automotive,Asia,1
Massachusetts Mutual Life Insurance,Financial services,North America,1,Broadcom,Technology,North America,0
Mazda Motor,Automotive,Asia,,Bharat Petroleum,Oil and gas,Asia,1
McKesson,Retail,North America,,VTB Bank,Financial services,Europe,0
Meiji Yasuda Life Insurance,Financial services,Asia,1,Novartis,Health care and pharmaceuticals,Europe,1
Meituan,Retail,Asia,,Deere,Engineering and construction,North America,1
Mercadona,"Food, beverages and agriculture",Europe,,Jinneng Holding Group,Metals and mining,Asia,0
Mercedes-Benz Group,Automotive,Europe,,Nike,Retail,North America,0
Merck,Health care and pharmaceuticals,North America,,Dongfeng Motor,Automotive,Asia,0
Meta Platforms,Technology,North America,1,Jingye Group,Metals and mining,Asia,0
MetLife,Financial services,North America,1,Banco Bradesco,Financial services,Other,1
Metro,Retail,Europe,,Marubeni,Financial services,Asia,1
Microsoft,Technology,North America,,Shaanxi Yanchang Petroleum (Group),Metals and mining,Asia,0
Midea Group,Industrial goods,Asia,,Deutsche Bahn,Transportation and logistics,Europe,1
Migros Group,Retail,Europe,1,Xiaomi,Retail,Asia,0
Mitsubishi,Industrial goods,Asia,1,Crédit Mutuel Group,Financial services,Europe,1
Mitsubishi Electric,Industrial goods,Asia,1,Louis Dreyfus,"Food, beverages and agriculture",Europe,0
Mitsubishi Heavy Industries,Industrial goods,Asia,1,Liberty Mutual Insurance Group,Financial services,North America,0
Mitsubishi UFJ Financial Group,Financial services,Asia,1,Bayer,Chemicals,Europe,1
Mitsui,Financial services,Asia,,Saint-Gobain,Industrial goods,Europe,1
Mizuho Financial Group,Financial services,Asia,1,Contemporary Amperex Technology,Automotive,Asia,0
Molina Healthcare,Health care and pharmaceuticals,North America,,Plains GP Holdings,Energy and utilities,North America,0
Mondelez International,"Food, beverages and agriculture",North America,1,Talanx,Financial services,Europe,1
Morgan Stanley,Financial services,North America,1,UniCredit Group,Financial services,Europe,1
MS&AD Insurance Group Holdings,Financial services,Asia,1,Volvo,Engineering and construction,Europe,1
Munich Re Group,Financial services,Europe,1,HD Hyundai,Oil and gas,Asia,0
National Australia Bank,Financial services,Other,1,Shanghai Pudong Development Bank,Financial services,Asia,0
Nationwide,Financial services,North America,1,USAA,Financial services,North America,0
Nestle,"Food, beverages and agriculture",Europe,1,SK Hynix,Technology,Asia,1
Netflix,Telecommunications and media,North America,1,Iberdrola,Energy and utilities,Europe,1
New Hope Holding Group,"Food, beverages and agriculture",Asia,,Veolia Environnement,Energy and utilities,Europe,1
New York Life Insurance,Financial services,North America,1,Bristol-Myers Squibb,Health care and pharmaceuticals,North America,1
Nike,Household and personal products,North America,1,Landesbank Baden-Wurttemberg,Financial services,Europe,1
Nippon Life Insurance,Financial services,Asia,1,Ingram Micro Holding,Industrial goods,North America,0
Nippon Steel Corporation,Metals and mining,Asia,,Sumitomo,Financial services,Asia,0
Nippon Telegraph and Telephone,Telecommunications and media,Asia,,General Dynamics,Aerospace and defense,North America,0
Nissan Motor,Automotive,Asia,,China Vanke,Real estate,Asia,0
Northrop Grumman,Aerospace and defense,North America,1,SoftBank Group,Telecommunications and media,Asia,1
Northwestern Mutual,Financial services,North America,,America Movil,Telecommunications and media,Other,1
Novartis,Health care and pharmaceuticals,Europe,1,Canadian Imperial Bank of Commerce,Financial services,North America,1
Novo Nordisk,Health care and pharmaceuticals,Europe,1,Coca-Cola,"Food, beverages and agriculture",North America,1
Nucor,Metals and mining,North America,1,L'Oréal,Household and personal products,Europe,1
Nvidia,Technology,North America,,Denso,Automotive,Asia,0
Oil & Natural Gas,Metals and mining,Asia,,TIAA,Financial services,North America,1
Olam Group,Retail,Asia,1,Meituan,Retail,Asia,0
OMV Group,Oil and gas,Europe,1,SNCF Group,Transportation and logistics,Europe,0
Oracle,Technology,North America,1,Travelers,Financial services,North America,0
Orange,Telecommunications and media,Europe,1,Zhejiang Communications Investment Group,Transportation and logistics,Asia,0
Orlen,Oil and gas,Europe,1,Swiss Re,Financial services,Europe,1
Paccar,Automotive,North America,,China South Industries Group,Aerospace and defense,Asia,0
Pacific Construction Group,Engineering and construction,Asia,,Raizen,Oil and gas,Other,0
Panasonic Holdings,Industrial goods,Asia,1,Taikang Insurance Group,Financial services,Asia,0
PBF Energy,Oil and gas,North America,,Ingka Group,Retail,Europe,1
PDD Holdings,Retail,Asia,,Eli Lilly,Health care and pharmaceuticals,North America,0
Pegatron,Industrial goods,Asia,1,ACS,Engineering and construction,Europe,1
Pemex,Metals and mining,North America,1,Susun Construction Group,Engineering and construction,Asia,0
People's Insurance Co. of China,Financial services,Asia,,China Huadian,Energy and utilities,Asia,0
