company,sector,region,re100,sbti,cn,nz,cc
china merchants group,Transportation and logistics,Asia,000--,000--,000--,000--,000--
china minmetals,Metals and mining,Asia,00000,00000,00000,00100,00000
china minsheng banking,Financial services,Asia,00000,00000,00000,00000,00000
china national aviation fuel group,Financial services,Asia,-0000,-0000,-0000,-0000,-000-1
china national building material group,Industrial goods,Asia,00000,00000,00000,00010,00000
china national coal group,Metals and mining,Asia,00000,00000,00000,00000,00000
china national nuclear,Energy and utilities,Asia,0000-,0000-,0000-,0000-,0000-
china national offshore oil,Metals and mining,Asia,00000,00000,00110,00000,00011
china national petroleum,Oil and gas,Asia,00000,00000,00000,11001,00000
china pacific insurance (group),Financial services,Asia,00000,00000,00000,00000,00000
china post group,Real estate,Asia,00000,00000,01000,00000,00000
china railway construction,Engineering and construction,Asia,00000,00000,00001,00000,00000
china reinsurance (group),Financial services,Asia,0----,0----,0----,0----,0----
china resources,Financial services,Asia,00000,00000,00000,00000,00000
china south industries group,Aerospace and defense,Asia,00000,00000,00000,00000,00000
china southern power grid,Energy and utilities,Asia,00000,00000,00000,00000,00000
china state construction engineering,Engineering and construction,Asia,00000,00000,00011,00000,00000
china state shipbuilding,Transportation and logistics,Asia,0000-,0000-,0000-,0000-,0000-
china taiping insurance group,Financial services,Asia,000--,000--,000--,001--,000--
china telecommunications,Telecommunications and media,Asia,00000,00000,10000,00000,00000
china united network communications,Telecommunications and media,Asia,00000,00000,00000,00000,00000
china vanke,Real estate,Asia,00000,00000,00000,00000,00100
christian dior,Retail,Europe,00000,00001,00000,00000,00000
chs,"Food, beverages and agriculture",North America,00000,00000,00000,00000,00000
chubb,Financial services,Europe,00000,00000,01100,00000,01101
chubu electric power,Energy and utilities,Asia,0----,0----,0----,1----,0----
cigna,Health care and pharmaceuticals,North America,01111,00000,11111,00000,00010
cisco systems,Technology,North America,00011,11111,00000,01111,00000
citigroup,Financial services,Asia,00100,00000,10000,00101,00001
cj corp.,"Food, beverages and agriculture",Asia,000--,000--,011--,000--,010--
ck hutchison holdings,Retail,Asia,00000,00110,00000,10111,00010
cma cgm,Transportation and logistics,Europe,00---,00---,10---,01---,00---
coca-cola,"Food, beverages and agriculture",North America,00100,11111,00000,11111,00010
cofco,Financial services,Asia,00000,00011,00000,00000,00000
