year,company ,region,sector ,re100,sbti,cn,nz,cc,,,
2021,China Huaneng Group,Asia,Energy and utilities,,,,,,,,
2021,China Life Insurance,Asia,Financial services,,,,,,,,
2021,China Merchants Bank,Asia,Financial services,,,,,,,,
2021,China Merchants Group,Asia,Transportation and logistics,,,,,,,,
2021,China Minmetals,Asia,Industrial goods,,,,,,,,
2021,China Minsheng Banking,Asia,Financial services,,,,,,,,
2021,China Mobile Communications,Asia,Telecommunications and media,,,1,,,,,
2021,China National Building Material Group,Asia,Industrial goods,,,,,,,,
2021,China National Coal Group,Asia,Oil and gas,,,,,,,,
2021,China National Nuclear,Asia,Energy and utilities,,,,,,,,
2021,China National Offshore Oil,Asia,Oil and gas,,,,,,,,
2021,China National Petroleum,Asia,Oil and gas,,,,1,,,,
2021,China North Industries Group,Asia,Aerospace and defense,,,,,,,,
2021,China Pacific Insurance (Group),Asia,Financial services,,,,,,,,
2021,China Poly Group,Asia,Real estate,,,,,,,,
2021,China Post Group,Asia,Transportation and logistics,,,,,,,,
2021,China Railway Construction,Asia,Engineering and construction,,,,,,,,
2021,China Railway Engineering Group,Asia,Engineering and construction,,,,,,,,
2021,China Reinsurance (Group),Asia,Financial services,,,,,,,,
2021,China Resources,Asia,Health care and pharmaceuticals,,,,,,,,
2021,China Resources Land,Asia,Real estate,,,,,,,,
2021,China South Industries Group,Asia,Aerospace and defense,,,,,,,,
2021,China Southern Power Grid,Asia,Energy and utilities,,,,,,,,
2021,China State Construction Engineering,Asia,Engineering and construction,,,,,,,,
2021,China State Shipbuilding,Asia,Transportation and logistics,,,,,,,,
2021,China Taiping Insurance Group,Asia,Financial services,,,,,,,,
2021,China Telecommunications,Asia,Telecommunications and media,,,,,,,,
2021,China United Network Communications,Asia,Telecommunications and media,,,,,,,,
2021,China Vanke,Asia,Real estate,,,,,,,,
2021,Christian Dior,Europe,Retail,,,,,,,,
2021,CHS,North America,"Food, beverages and agriculture",,,,,,,,
2021,Chubb,Europe,Financial services,,,,,,,,
2021,Chubu Electric Power,Asia,Energy and utilities,,,,1,,,,
2021,Cigna,North America,Health care and pharmaceuticals,,,1,,,,,
2021,Cisco Systems,North America,Technology,,1,,,,,,
2021,CITIC Group,Asia,Financial services,,,1,,,,,
2021,Citigroup,North America,Financial services,1,,1,1,,,,
2021,CJ Corp.,Asia,Retail,,,,,,,,
2021,CK Hutchison Holdings,Asia,Retail,,,,1,,,,
2021,CMA CGM,Europe,Transportation and logistics,,,1,,,,,
2021,Coca-Cola,North America,"Food, beverages and agriculture",,1,,1,,,,
2021,COFCO,Asia,Financial services,,,,,,,,
2021,Coles Group,Other,"Food, beverages and agriculture",,,,1,,,,
2021,Comcast,North America,Telecommunications and media,,,1,,,,,
2021,Commonwealth Bank of Australia,Other,Financial services,1,,,,,,,
2021,Compal Electronics,Asia,Technology,,,,,,,,
2021,Compass Group,Europe,"Food, beverages and agriculture",,,,,,,,
2021,Continental,Europe,Automotive,1,1,1,,,,,
2021,Coop Group,Europe,"Food, beverages and agriculture",,,1,,,,,
2021,Costco Wholesale,North America,Retail,,,,,,,,
2021,Country Garden Holdings,Asia,Real estate,,,1,,,,,
2021,Crédit Agricole,Europe,Financial services,1,,,1,,,,
2021,Credit Suisse Group,Europe,Financial services,1,,1,1,,,,
2021,CRH,Other,Industrial goods,,,1,,,,,
2021,CRRC Group,Asia,Industrial goods,,,,,,,,
2021,CVS Health,North America,Health care and pharmaceuticals,,1,,,,,,
2021,Dai-ichi Life Holdings,Asia,Financial services,,,,1,,,,
2021,Daimler,Europe,Automotive,,,1,,,,,
2021,Daiwa House Industry,Asia,Real estate,1,1,,1,,,,
2021,Danone,Europe,"Food, beverages and agriculture",1,1,1,,,,,
2021,Deere,North America,Industrial goods,,,,,,,,
2021,Dell Technologies,North America,Technology,1,1,,1,,,,
2021,Denso,Asia,Automotive,,,1,,,,,
2021,Deutsche Bahn,Europe,Transportation and logistics,,1,1,,,,,
2021,Deutsche Bank,Europe,Financial services,,,1,1,,,,
2021,Deutsche Post DHL Group,Europe,Transportation and logistics,,,,1,,,,
2021,Deutsche Telekom,Europe,Telecommunications and media,1,1,1,1,,,,
2021,Dollar General,North America,Retail,,,,,,,,
2021,Dollar Tree,North America,Retail,,,,,,,,
2021,Dongfeng Motor,Asia,Automotive,,,,,,,,
2021,Dow,North America,Chemicals,,,1,,,,,
2021,DZ Bank,Europe,Financial services,,,,,,,,
2021,E.ON,Europe,Energy and utilities,,,1,,,,,
2021,Edeka Zentrale,Europe,"Food, beverages and agriculture",,,,,,,,
2021,Electricité de France,Europe,Energy and utilities,,1,1,,,,,
2021,Eli Lilly,North America,Health care and pharmaceuticals,,,1,,,,,
2021,ELO Group,Europe,"Food, beverages and agriculture",,,,,,,,
2021,Enbridge,North America,Oil and gas,,,,1,,,,
2021,Enel,Europe,Energy and utilities,,1,,1,,,,
2021,ENEOS Holdings,Asia,Oil and gas,,,1,,,,,
2021,Energy Transfer,North America,Oil and gas,,,,,,,,
