company,pattern,first_1_pos,zero_pos,regained_1_pos
POSCO Holdings,11010,0,2,3
arcelormittal,10100,0,1,2
beijing automotive group,01101,1,3,4
general dynamics,01011,1,2,3
hyundai motor,11011,0,2,3
kia,01101,1,3,4
phoenix pharma,00101,2,3,4
renault,11101,0,3,4
siemens energy,10101,0,1,2
sinopec group,10001,0,1,4
state bank of india,11101,0,3,4
tencent holdings,01010,1,2,3
tokyo electric power,01001,1,2,4
x5 retail group,11101,0,3,4
zf friedrichshafen,11011,0,2,3
