company,pattern,first_1_pos,zero_pos,regained_1_pos
GSK,10111,0,1,2
SK Group,10001,0,1,4
commonwealth bank of australia,1--01,0,3,4
la poste,11001,0,2,4
sap,10111,0,1,2
