company,sector,nz_2024,nz_2025,gained_nz,lost_nz
China Southern Power Grid,Energy and utilities,0.0,0.0,False,False
China State Construction Engineering,Engineering and construction,0.0,0.0,False,False
China Telecommunications,Telecommunications and media,0.0,0.0,False,False
China United Network Communications,Telecommunications and media,0.0,0.0,False,False
China Vanke,Real estate,0.0,0.0,False,False
Christian Dior,Household and personal products,0.0,,False,False
Christian Dior,Retail,,0.0,False,False
Chubb,Financial services,0.0,0.0,False,False
Cigna,Health care and pharmaceuticals,0.0,0.0,False,False
Cisco Systems,Technology,,1.0,False,False
Cisco Systems,Telecommunications and media,1.0,,False,False
Citigroup,Financial services,1.0,1.0,False,False
Coca-Cola,"Food, beverages and agriculture",1.0,1.0,False,False
Comcast,Telecommunications and media,0.0,0.0,False,False
Commonwealth Bank of Australia,Financial services,1.0,1.0,False,False
Compass Group,"Food, beverages and agriculture",1.0,,False,False
Compass Group,Industrial goods,,1.0,False,False
ConocoPhillips,Metals and mining,1.0,1.0,False,False
Contemporary Amperex Technology,Automotive,0.0,0.0,False,False
Continental,Automotive,0.0,0.0,False,False
Coop Group,Retail,1.0,1.0,False,False
Costco Wholesale,Retail,0.0,0.0,False,False
Credit Agricole,Financial services,0.0,1.0,True,False
Cummins,Industrial goods,1.0,1.0,False,False
D.R. Horton,Engineering and Construction,0.0,,False,False
D.R. Horton,Engineering and construction,,0.0,False,False
DHL Group,Transportation and logistics,1.0,1.0,False,False
DZ Bank,Financial services,0.0,1.0,True,False
Dai-ichi Life Holdings,Financial services,1.0,1.0,False,False
Daimler Truck Holding,Automotive,0.0,0.0,False,False
Daiwa House Industry,Engineering and construction,1.0,1.0,False,False
Deere,Engineering and construction,,1.0,False,False
Deere,Industrial goods,0.0,,False,False
Dell Technologies,Technology,1.0,1.0,False,False
Delta Air Lines,Transportation and Logistics,1.0,,False,False
Delta Air Lines,Transportation and logistics,,1.0,False,False
Denso,Automotive,0.0,0.0,False,False
Deutsche Bahn,Transportation and logistics,0.0,1.0,True,False
Deutsche Bank,Financial services,1.0,1.0,False,False
Deutsche Telekom,Telecommunications and media,1.0,1.0,False,False
Dollar General,Retail,0.0,0.0,False,False
Dongfeng Motor,Automotive,0.0,0.0,False,False
Dow,Chemicals,0.0,0.0,False,False
E.ON,Energy and utilities,0.0,0.0,False,False
ELO Group,Retail,0.0,0.0,False,False
ENEOS Holdings,Oil and gas,0.0,0.0,False,False
ENI,Oil and gas,1.0,1.0,False,False
Ecopetrol,Metals and mining,,1.0,False,False
Ecopetrol,Oil and gas,1.0,,False,False
Edeka Zentrale,"Food, beverages and agriculture",,1.0,False,False
Edeka Zentrale,Retail,1.0,,False,False
Electricite de France,Energy and utilities,1.0,1.0,False,False
Elevance Health,Health care and pharmaceuticals,1.0,1.0,False,False
Eli Lilly,Health care and pharmaceuticals,0.0,0.0,False,False
Emirates Group,Transportation and logistics,0.0,0.0,False,False
Enbridge,Energy and utilities,,1.0,False,False
Enbridge,Oil and gas,1.0,,False,False
Enel,Energy and utilities,1.0,1.0,False,False
